"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Collins John",63,46,2,1
"Simon King",57,62,4,1
"Kieren Westwood",75,379,18,1
"David Buchanan",62,59,12,1
"Hurtado Perez Moises",65,59,57,1
"Heidar Helguson",67,56,12,1
"Jaroslav Drobny",76,361,130,1
"Liam Rosenior",71,57,27,1
"Tomasz Radzinski",68,58,11,1
"Robert Milsom",63,57,38,1
"Boudewijn Zenden",72,54,21,2
"Sean Clohessy",62,48,22,1
"Alexandre Bonnet",68,41,4,1
"Jonathan De Guzman",76,46,121,4
"John Arne Riise",72,58,172,2
"Jose Miguel Josemi",63,53,35,1
"Mohamed Lamine Sissoko",74,45,74,3
"Salif Diao",68,49,32,1
"Sami Hyypiae",80,44,64,2
"Stephen Warnock",68,65,113,1
"Steve Finnan",75,134,21,2
"Daniel Halfar",71,63,28,1
"Ben Foster",79,393,173,1
"Darren Fletcher",75,52,152,1
"Floribert Ngalula",60,52,13,1
"John O'Shea",75,60,202,1
"Ryan Giggs",78,32,85,1
"Tom Heaton",75,376,38,1
"Darron Gibson",76,55,52,1
"Fraizer Campbell",71,60,79,1
"Adam Johnson",78,53,143,1
"Aiyegbeni Yakubu",69,47,58,1
"Andrew Taylor",67,63,37,1
"Anthony McMahon",65,59,13,1
"Chris Riggott",66,42,16,1
"David Wheater",71,58,59,1
"Emanuel Pogatetz",68,43,112,2
"Salva Ballesta",68,132,2,1
"Fabio Rochemback",73,46,2,1
"James Morrison",74,54,171,1
"Matthew Bates",58,54,15,1
"Stuart Parnaby",63,61,11,1
"Joey Barton",75,50,116,2
"Micah Richards",77,62,121,2
"Nedum Onuoha",76,58,103,1
"Nicky Weaver",60,303,6,1
"Richard Dunne",75,56,144,1
"Stephen Jordan",63,62,22,1
"Stephen Ireland",75,60,104,1
"Sylvain Distin",77,44,215,1
"Emre Belozoglu",74,47,4,1
"Scott Parker",75,42,154,1
"Shay Given",74,369,104,1
"Shola Ameobi",69,58,60,1
"Stephen Carr",71,47,70,1
"Steve Harper",69,346,60,1
"Steven Taylor",76,55,98,1
"Tim Krul",78,389,154,1
"Titus Bramble",72,54,111,1
"David Edgar",67,58,9,1
"Leonardo Bonucci",83,13,217,1
"Matthew Lockwood",60,52,21,1
"Craig Easton",61,40,2,1
"Simon Ramsden",63,47,55,1
"Andrew O'Brien",68,50,35,1
"Jan Mucha",68,337,2,1
"Allan Russell",63,135,11,1
"Jamie Ashdown",63,317,5,1
"Matthew Taylor",69,73,118,1
"Richard Hughes",64,54,25,1
"Valery Mezague",62,38,4,1
"Marc Pugh",71,60,15,1
